Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Quartz,Brittle,"Transparent,Translucent","colourless,Purple,pink,Red,Black,Yellow,Brown,Green,Blue,Orange",7,Vitreous,White,poor,indistinct,indistinct,Conchoidal,"prismatic,pyramidal,massive",none,Uniaxial (+),Trigonal,Low,SiO2,2.65 - 2.66 g/cm3 (Measured)  2.66 g/cm3 (Calculated)
Orthoclase,Brittle,"Transparent,Translucent","colourless,white,yellow,pink",6,"Vitreous,Sub-Vitreous,Resinous",White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal",prismatic,none,Biaxial (-),Monoclinic,Low,KAlSi3O8,2.55 - 2.63 g/cm3 (Measured)  2.563 g/cm3 (Calculated)
Albite,Brittle,"Transparent,Translucent","White,gray,bluish","6,6.5",Vitreous,White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal","tabular,parallel,platy,granular,massive",none,Biaxial (+),Triclinic,Low,NaAlSi3O8,2.6 - 2.65 g/cm3 (Measured)  2.615(6) g/cm3 (Calculated)
Anorthite,Brittle,"Transparent,Translucent","Colourless,gray,white","6,6.5",Vitreous,White,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal","prismatic,lamellar,granular,massive",none,Biaxial (-),Triclinic,Moderate,CaAl2Si2O8,2.74 - 2.76 g/cm3 (Measured)  2.76 g/cm3 (Calculated)
Halite,Brittle,"Transparent,Translucent","Colourless,white,yellow,red,purple,blue",2.5,Vitreous,White,good,3 directions,90 degrees,Conchoidal,"cubic,octahedral,massive,granular,columnar,",Weak,Isotropic,Isometric,Low,NaCl,2.168 g/cm3 (Measured)  2.165 g/cm3 (Calculated)
Gypsum,"Flexible,Inelastic","Transparent,Translucent","white,colourless,yellow,green,brown",2,Pearly,white,poor,3 directions,"120 degrees,60 degrees",fibrous,"massive,elongate,prismatic",none,Biaxial (+),Monoclinic,low,CaSO4*2H20,2.3
Calcite,Brittle,"Transparent,Translucent","White,Yellow,Red,Orange,Blue,Green,Brown,gray",3,"Vitreous,Sub-Vitreous,Resinous,Waxy,Pearly",White,good,3 directions,"120 degrees,60 degrees",Conchoidal,"granular,nodular,massive,rhombohedral",none,Uniaxial (-),Trigonal,Low,CaCO3,2.7102(2) g/cm3 (Measured)  2.711 g/cm3 (Calculated)
Dolomite,Brittle,"Transparent,Translucent","Colourless,white,gray,pink","3.5,4","Vitreous,Sub-Vitreous,Resinous,Waxy,Pearly",White,good,3 directions,"120 degrees,60 degrees",Sub-Conchoidal,"granular,nodular,massive,rhombohedral",none,Uniaxial (-),Trigonal,Moderate,CaMg(CO3)2,2.84 - 2.86 g/cm3 (Measured)  2.876 g/cm3 (Calculated)
Fluorite,Brittle,Transparent,"Purple,yellow,green,colourless,blue,pink,champagne,brown",4,"Vitreous,Dull",White,very good,3 directions,90 degrees,"Splintery,Sub-Conchoidal","cubic,octahedral,dodecahedral",none,Isotropic,Isometric,Moderate,CaF2,3.175 - 3.56 g/cm3 (Measured)  3.181 g/cm3 (Calculated)
Muscovite,Elastic,"Transparent,Translucent","White,colourless",2.5,"Vitreous,Silky,Pearly",White,very good,1 direction,indistinct,Micaceous,"massive,platy,sheets",Weak,Biaxial (-),monoclinic,Moderate,KAl2(Si3Al)O10(OH)2,2.77 - 2.88 g/cm3 (Measured)  2.83 g/cm3 (Calculated)
Talc,Sectile,"Transparent,Translucent","colourless,white,green,green,brown,gray",1,"Sub-Vitreous,Resinous,Waxy,Greasy,Pearly",White,good,1 direction,indistinct,"Fibrous,Micaceous","platy,radial",Weak,Biaxial (-),Triclinic,Moderate,Mg3Si4O10(OH)2,2.58 - 2.83 g/cm3 (Measured)  2.78 g/cm3 (Calculated)
Kaolinite,Sectile,"Translucent,Opaque","White,yellow,tan,brown","2,2.5","Waxy,Pearly,Dull,Earthy",White,poor,1 direction,indistinct,"Irregular,Uneven,Conchoidal,Sub-Conchoidal,Micaceous","platy,massive",none,,Triclinic,Low,Al2Si2O5(OH)4,2.63 g/cm3 (Calculated)
